App,Response,Category,Question,,,,,,,,
TreesPNW,0,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
vTree,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
vTree,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
vTree,0,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
vTree,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
vTree,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
vTree,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
vTree,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
vTree,0,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
vTree,0,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
vTree,0,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
vTree,0,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
vTree,0,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
vTree,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
vTree,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
vTree,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
vTree,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
vTree,0,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
vTree,0,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
vTree,0,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
vTree,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
vTree,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
Seek,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
Seek,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
Seek,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
Seek,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
Seek,0,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
Seek,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
Seek,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
Seek,0,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
Seek,0,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
Seek,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
Seek,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
Seek,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
Seek,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
Seek,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
Seek,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
Seek,0,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
Seek,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
Seek,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
Seek,0,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
Seek,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
Seek,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
Seek,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
Seek,0,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
Seek,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
PlantNet,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
PlantNet,0,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
PlantNet,0,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
PlantNet,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
PlantNet,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
PlantNet,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
PlantNet,0,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
PlantNet,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
PlantNet,0,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
PlantNet,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
PlantNet,0,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
PlantNet,1,Confidence,I feel confident in my ability to correctly identify Northwest conifers with the assigned app.,,,,,,,,
TreesPNW,0,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
TreesPNW,0,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
TreesPNW,0,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
TreesPNW,1,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
vTree,0,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
vTree,1,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
vTree,0,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
vTree,1,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
vTree,0,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
vTree,0,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
vTree,1,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
vTree,0,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
vTree,0,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
vTree,0,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
vTree,0,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
vTree,1,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
vTree,1,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
vTree,1,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
vTree,1,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
vTree,0,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
vTree,1,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
vTree,0,Confidence,I feel confident in my ability to correctly identify Northwest hardwoods with the assigned app.,,,,,,,,
