TreeID,Division,Flower/Fruit/Cone,App,%Genus,%Species
PICO,Pinophyta,1,vTree,100,55
PICO,Pinophyta,1,TreesPNW,95.24,66.67
PICO,Pinophyta,1,Seek,100,5.88
PICO,Pinophyta,1,Key,64.29,64.29
PISI,Pinophyta,0,vTree,70,70
PISI,Pinophyta,0,TreesPNW,66.67,66.67
PISI,Pinophyta,0,Seek,81.25,18.75
PISI,Pinophyta,0,Key,53.33,40
THPL,Pinophyta,0,vTree,100,100
THPL,Pinophyta,0,TreesPNW,95.24,95.24
THPL,Pinophyta,0,Seek,100,100
THPL,Pinophyta,0,Key,86.67,86.67
TSHE,Pinophyta,1,vTree,100,100
TSHE,Pinophyta,1,TreesPNW,100,100
TSHE,Pinophyta,1,Seek,100,100
TSHE,Pinophyta,1,Key,42.86,42.86
TABR,Pinophyta,0,vTree,38.1,38.1
TABR,Pinophyta,0,TreesPNW,78.95,78.95
TABR,Pinophyta,0,Seek,59.09,59.09
TABR,Pinophyta,0,Key,83.33,83.33
CANO,Pinophyta,1,vTree,38.1,38.1
CANO,Pinophyta,1,TreesPNW,66.67,66.67
CANO,Pinophyta,1,Key,0,0
CANO,Pinophyta,1,Seek,9.52,9.52
ABLA,Pinophyta,0,vTree,66.67,23.81
ABLA,Pinophyta,0,TreesPNW,95.45,68.18
ABLA,Pinophyta,0,Seek,30.43,0
ABLA,Pinophyta,0,Key,33.33,8.33
ACMA,Magnoliophyta,1,vTree,85,35
ACMA,Magnoliophyta,1,Seek,100,100
ACMA,Magnoliophyta,1,TreesPNW,100,76.19
ACMA,Magnoliophyta,1,Key,91.67,66.67
FRPU,Magnoliophyta,1,vTree,76.19,76.19
FRPU,Magnoliophyta,1,TreesPNW,85,85
FRPU,Magnoliophyta,1,Seek,100,94.44
FRPU,Magnoliophyta,1,Key,77.78,77.78
BEOC,Magnoliophyta,1,vTree,22.73,22.73
BEOC,Magnoliophyta,1,TreesPNW,78.95,78.95
BEOC,Magnoliophyta,1,Seek,55.56,55.56
BEOC,Magnoliophyta,1,Key,60,50
QUGA,Magnoliophyta,0,vTree,90.48,90.48
QUGA,Magnoliophyta,0,TreesPNW,100,100
QUGA,Magnoliophyta,0,Seek,100,94.74
QUGA,Magnoliophyta,0,Key,75,75
ARME,Magnoliophyta,1,vTree,85.71,85.71
ARME,Magnoliophyta,1,TreesPNW,94.74,94.74
ARME,Magnoliophyta,1,Seek,100,100
ARME,Magnoliophyta,1,Key,62.5,62.5
